,PartNumber,Info
0,1,"2,1;1.09313,0.171146,-1.15961/1.09313,0.171146,-1.15961/1.09313,0.171146,-1.15961;1,11,1,0;40.737890174766;0,0,0;0,0,0;3,1,3;
"
1474,1461,"0,1461;1.32969,-0.99674,0.526023/1.33009,-0.996142,0.526161/1.32928,-0.997338,0.525885;1,19,1,0;40.489579280233;2,1,1;2,0,0;1,1,2/1,5,1;
"
1475,1461,"0,1461;1.33186,-0.997619,0.525713/1.33223,-0.99737,0.526892/1.33149,-0.997867,0.524535;1,19,1,0;40.48957843418;0,1,0;1,0,0;1,7,1/2,1,2/2,8,0/3,5,0;
"
1476,1461,"0,1461;1.32976,-0.991169,0.523285/1.32976,-0.991169,0.523285/1.32976,-0.991169,0.523285;1,19,1,0;40.489579106684;1,0,1;1,0,0;4,1,2;
"
1477,1461,"0,1461;1.33839,-0.980862,0.527493/1.33839,-0.980862,0.527493/1.33839,-0.980862,0.527493;1,19,1,0;40.489587632295;1,0,1;1,0,0;1,1,2/2,2,0/3,6,0/3,7,0;
"
1478,1461,"0,1461;1.33014,-0.991466,0.531896/1.33014,-0.991466,0.531896/1.33014,-0.991466,0.531896;1,19,1,0;40.489591963798;1,0,1;1,0,0;1,1,2/2,1,0;
"
1479,1464,"2,1464;-2.88006,0.427824,-0.166834/-2.88006,0.427824,-0.166834/-2.88006,0.427824,-0.166834;1,14,1,0;40.396354729468;0,1,0;1,0,0;1,1,1;
"
1480,1464,"0,1464;-2.87875,0.428267,-0.168748/-2.87875,0.428267,-0.168748/-2.87875,0.428267,-0.168748;1,14,1,0;40.396354834103;1,0,1;1,0,0;4,1,2;
"
1481,1468,"2,1468;-3.66298,-2.11209,-1.08358/-3.66298,-2.11209,-1.08358/-3.66298,-2.11209,-1.08358;1,9,1,0;40.402167517702;1,0,1;1,0,0;4,1,2;
"
1482,1469,"2,1469;1.9035,-0.832558,2.37341/1.90419,-0.83224,2.37377/1.90281,-0.832876,2.37304;1,34,1,0;40.0759807069142;0,5,0;3,2,0;1,3,1/1,5,1/1,6,1/2,7,0/3,1,3/3,5,0/3,8,1/3,9,0/3,10,0;
"
1483,1469,"0,1469;1.9047,-0.832587,2.37433/1.90527,-0.832437,2.37517/1.90414,-0.832737,2.37349;1,34,1,0;40.0759806320768;0,1,0;0,1,1;1,9,1/2,1,1/3,1,0/3,7,3/4,1,0;
"
1484,1469,"0,1469;1.90235,-0.832739,2.37279/1.90284,-0.83224,2.37374/1.90185,-0.833239,2.37184;1,34,1,0;40.0759807692787;1,0,1;0,1,1;1,1,1/2,2,0/2,10,2/3,3,1/3,4,0/3,5,0;
"
1485,1469,"0,1469;1.90929,-0.835584,2.37455/1.90929,-0.835584,2.37455/1.90929,-0.835584,2.37455;1,34,1,0;40.0759825653767;0,1,0;0,1,0;1,1,0/2,1,1/3,1,0/3,2,0/4,1,0;
"
1486,1469,"0,1469;1.90655,-0.838078,2.37748/1.90655,-0.838078,2.37748/1.90655,-0.838078,2.37748;1,34,1,0;40.0759803327272;1,0,1;1,0,0;1,1,2;
"
1487,1471,"2,1471;1.99912,-1.12656,-2.06794/1.99933,-1.12648,-2.0674/1.9989,-1.12663,-2.06848;1,8,1,0;40.101318812699;2,2,1;1,2,1;2,1,0/2,2,0/2,3,0/2,4,2/3,1,1/3,2,0/3,10,0/4,1,0/4,5,0/4,7,1/4,10,0;
"
1488,1471,"0,1471;1.99895,-1.12691,-2.07187/1.99895,-1.12691,-2.07187/1.99895,-1.12691,-2.07187;1,8,1,0;40.101318168383;1,0,1;1,0,0;1,1,2;
"
1489,1471,"0,1471;2.00083,-1.12912,-2.06678/2.00083,-1.12912,-2.06678/2.00083,-1.12912,-2.06678;1,8,1,0;40.10131894054;1,0,1;1,0,0;1,1,2/3,2,0/3,9,0;
"
1490,1471,"0,1471;1.99378,-1.13436,-2.05806/1.99378,-1.13436,-2.05806/1.99378,-1.13436,-2.05806;1,8,1,0;40.101319630878;1,0,1;1,0,0;4,1,2;
"
1491,1477,"2,1477;-2.67788,3.3363,-0.110107/-2.67743,3.33678,-0.108815/-2.67833,3.33582,-0.111398;1,14,1,0;40.59686151047;2,1,1;0,2,1;2,1,2/2,3,0/2,5,0/2,6,0/2,7,0/3,1,0/3,4,0/3,8,0/3,9,1/4,8,0;
"
1492,1477,"0,1477;-2.67984,3.33759,-0.10781/-2.67984,3.33759,-0.10781/-2.67984,3.33759,-0.10781;1,14,1,0;40.59686143661;1,0,1;0,1,0;2,9,0/3,1,2/3,3,0/3,4,0/4,2,0;
"
1493,1478,"2,1478;-2.7292,0.129881,-1.6261/-2.7292,0.129881,-1.6261/-2.7292,0.129881,-1.6261;1,6,1,0;40.76376642936;1,0,1;0,1,0;3,1,2;
"
1494,1480,"2,1480;2.35798,0.48668,-1.19591/2.35798,0.48668,-1.19591/2.35798,0.48668,-1.19591;1,11,1,0;40.783982121687;0,1,0;0,1,0;2,3,0/3,1,1/3,4,0/4,4,0;
"
1495,1482,"2,1482;2.73136,0.266401,-1.94244/2.73136,0.266401,-1.94244/2.73136,0.266401,-1.94244;1,4,1,0;40.599202629787;1,0,1;0,1,0;3,1,2;
"
1496,1482,"0,1482;3.72759,-1.66691,-1.10942/3.72808,-1.66677,-1.10894/3.72709,-1.66706,-1.1099;1,12,1,0;40.11917551828;1,0,2;0,2,1;2,7,2/3,1,2;
"
1497,1482,"0,1482;3.72083,-1.67352,-1.11622/3.72083,-1.67352,-1.11622/3.72083,-1.67352,-1.11622;1,12,1,0;40.119163822936;1,0,1;1,0,0;1,1,2;
"
1498,1482,"0,1482;3.72124,-1.66856,-1.11647/3.72124,-1.66856,-1.11647/3.72124,-1.66856,-1.11647;1,12,1,0;40.119164572491;1,0,1;1,0,0;4,1,2;
"
1499,1482,"0,1482;3.72414,-1.66547,-1.11104/3.72414,-1.66547,-1.11104/3.72414,-1.66547,-1.11104;1,12,1,0;40.119175318017;1,0,1;1,0,0;4,1,2;
"
1500,1483,"2,1483;1.61527,-0.798775,-1.95636/1.61527,-0.798775,-1.95636/1.61527,-0.798775,-1.95636;1,4,1,0;40.520297944446;0,1,0;1,0,0;1,1,1;
"
1501,1484,"2,1484;0.933946,-0.448449,-3.60577/0.933946,-0.448449,-3.60577/0.933946,-0.448449,-3.60577;1,1,1,0;40.775319808467;1,0,1;0,1,0;3,1,2;
"
1502,1484,"0,1484;0.318248,-0.548466,-3.54275/0.318248,-0.548466,-3.54275/0.318248,-0.548466,-3.54275;1,1,1,0;40.778715790323;0,1,0;0,1,0;3,1,1;
"
1503,1484,"0,1484;-2.9548,-1.10915,-3.18302/-2.9548,-1.10915,-3.18302/-2.9548,-1.10915,-3.18302;1,5,1,0;40.0911503125365;1,0,1;0,1,0;3,1,2/3,6,0/3,9,0;
"
1504,1484,"0,1484;-2.95514,-1.11156,-3.18404/-2.95449,-1.11143,-3.18392/-2.9558,-1.11169,-3.18416;1,5,1,0;40.0911508712499;2,1,1;2,0,0;2,3,0/3,2,0/4,1,2/4,5,1;
"
1505,1484,"0,1484;-2.96128,-1.09932,-3.18535/-2.96128,-1.09932,-3.18535/-2.96128,-1.09932,-3.18535;1,5,1,0;40.0911480139698;1,0,1;1,0,0;1,1,2/2,1,0/2,2,0;
"
1506,1486,"2,1486;0.128503,0.5141,1.92238/0.128503,0.5141,1.92238/0.128503,0.5141,1.92238;1,30,1,0;40.770458627032;1,0,1;1,0,0;4,1,2;
"
1507,1488,"2,1488;-1.28075,1.19071,-0.406736/-1.28021,1.19152,-0.40561/-1.28129,1.1899,-0.407861;1,16,1,0;40.120823126956;2,1,2;0,3,1;1,6,0/2,1,2/2,10,2/3,3,1;
"
1508,1488,"0,1488;-1.27941,1.19048,-0.409652/-1.279,1.19105,-0.408729/-1.27982,1.18991,-0.410576;1,16,1,0;40.120823220715;2,1,1;2,0,0;1,9,1/2,6,0/2,9,0/3,7,0/3,8,0/3,9,0/3,10,0/4,1,2/4,5,0;
"
1509,1488,"0,1488;-1.27942,1.19001,-0.411164/-1.27902,1.19012,-0.410576/-1.27982,1.18991,-0.411753;1,16,1,0;40.120823274292;0,1,0;1,0,0;1,1,1/1,4,0/1,5,0/1,6,0/1,7,0/2,1,0/2,3,0/2,5,0/2,6,0/2,8,0/2,9,0/3,1,0/3,2,0/3,3,0/3,8,0/3,9,0/4,4,0/4,6,1/4,7,0/4,8,0/4,9,0;
"
1510,1490,"2,1490;1.30555,-1.79123,2.87074/1.30555,-1.79123,2.87074/1.30555,-1.79123,2.87074;1,35,1,0;40.471702555501;0,1,0;1,0,0;1,1,1;
"
1511,1492,"2,1492;-1.40181,2.08131,0.0633915/-1.40135,2.08208,0.0637951/-1.40226,2.08055,0.062988;1,17,1,0;40.598950987449;2,1,1;0,2,0;2,2,0/3,1,2/3,9,1;
"
1512,1492,"0,1492;-1.4019,2.08431,0.0621322/-1.40153,2.08477,0.0624371/-1.40227,2.08385,0.0618274;1,17,1,0;40.59895083401;2,1,1;1,1,0;2,1,2/2,7,0/4,5,1;
"
1513,1493,"2,1493;3.60409,-1.32322,1.41518/3.60409,-1.32322,1.41518/3.60409,-1.32322,1.41518;1,27,1,0;40.244128552643;0,1,0;0,1,0;2,1,1/2,2,0;
"
1514,1494,"2,1494;1.27142,-1.21435,-3.607/1.27142,-1.21435,-3.607/1.27142,-1.21435,-3.607;1,1,1,0;40.829135146616;0,1,0;0,1,0;2,4,0/2,6,0/3,1,1;
"
1515,1498,"2,1498;1.02063,1.06345,1.80759/1.02063,1.06345,1.80759/1.02063,1.06345,1.80759;1,27,1,0;40.416457430899;1,0,1;1,0,0;4,1,2;
"
1516,1498,"0,1498;1.01726,1.06457,1.80663/1.01726,1.06457,1.80663/1.01726,1.06457,1.80663;1,27,1,0;40.41645903318;0,1,0;1,0,0;1,1,1;
"
1517,1501,"2,1501;-1.3922,1.61084,-3.6548/-1.3922,1.61084,-3.6548/-1.3922,1.61084,-3.6548;1,2,1,0;40.0810369538871;0,1,0;1,0,0;4,1,1;
"
1518,1501,"0,1501;-0.255891,-1.21577,0.644868/-0.255891,-1.21577,0.644868/-0.255891,-1.21577,0.644868;1,23,1,0;40.301607281418;1,0,1;1,0,0;3,3,0/3,4,0/3,8,0/4,1,2;
"
1519,1504,"2,1504;-1.83571,-1.20922,1.91474/-1.83571,-1.20922,1.91474/-1.83571,-1.20922,1.91474;1,30,1,0;40.451019614949;0,1,0;0,1,0;2,1,1;
"
1520,1506,"2,1506;-1.20405,3.89734,-1.70641/-1.20405,3.89734,-1.70641/-1.20405,3.89734,-1.70641;1,7,1,0;40.149903899749;1,0,1;1,0,0;1,1,2;
"
1521,1507,"2,1507;-1.24177,-2.49973,1.80995/-1.24177,-2.49973,1.80995/-1.24177,-2.49973,1.80995;1,32,1,0;40.112144751858;1,0,1;1,0,0;1,1,2;
"
1522,1509,"2,1509;1.7216,2.019,-2.72376/1.7216,2.019,-2.72376/1.7216,2.019,-2.72376;1,4,1,0;40.111121644765;1,0,1;1,0,0;4,1,2;
"
1523,1509,"0,1509;0.369749,3.01704,-0.514817/0.369749,3.01704,-0.514817/0.369749,3.01704,-0.514817;1,13,1,0;40.570237935207;1,0,1;1,0,0;4,1,2;
"
1524,1509,"0,1509;0.102649,3.22853,-0.0592477/0.103436,3.22901,-0.0590582/0.101862,3.22805,-0.0594373;1,17,1,0;40.229620496919;0,2,0;0,2,0;3,1,1/3,7,0/3,10,1;
"
1525,1510,"2,1510;-3.93253,0.264626,1.44981/-3.9324,0.265317,1.45001/-3.93266,0.263935,1.44961;1,24,1,0;40.606910644266;0,2,0;0,2,1;2,1,1/2,5,0/3,6,1/3,7,0;
"
1526,1510,"0,1510;-3.93324,0.265376,1.44967/-3.93266,0.265434,1.44973/-3.93382,0.265317,1.44961;1,24,1,0;40.606910592537;0,1,0;0,1,0;2,1,1/2,8,1/3,6,0;
"
1527,1510,"0,1510;-3.92913,0.2666,1.44667/-3.92913,0.2666,1.44667/-3.92913,0.2666,1.44667;1,24,1,0;40.606897977975;0,1,0;1,0,0;1,1,1;
"
1528,1510,"0,1510;-3.91801,0.260746,1.45058/-3.91801,0.260746,1.45058/-3.91801,0.260746,1.45058;1,24,1,0;40.606900150606;1,0,1;1,0,0;4,1,2;
"
1529,1510,"0,1510;-1.46142,-2.8504,1.67953/-1.46142,-2.8504,1.67953/-1.46142,-2.8504,1.67953;1,32,1,0;40.0961575059375;1,0,1;0,1,0;3,1,2;
"
1530,1510,"0,1510;-1.45991,-2.85209,1.68045/-1.45991,-2.85209,1.68045/-1.45991,-2.85209,1.68045;1,32,1,0;40.0961573627323;1,0,1;1,0,0;4,1,2;
"
1531,1511,"2,1511;-2.6529,-0.900784,2.50723/-2.6529,-0.900784,2.50723/-2.6529,-0.900784,2.50723;1,36,1,0;40.531077901701;1,0,1;1,0,0;1,1,2;
"
1532,1511,"0,1511;-2.65193,-0.902753,2.50424/-2.65193,-0.902753,2.50424/-2.65193,-0.902753,2.50424;1,36,1,0;40.531078082047;1,0,1;1,0,0;1,1,2;
"
1533,1512,"2,1512;-0.845641,0.356682,0.686021/-0.845641,0.356682,0.686021/-0.845641,0.356682,0.686021;1,23,1,0;40.167149441545;0,1,0;1,0,0;4,1,1;
"
1534,1513,"2,1513;2.18724,-0.609617,-2.67954/2.18724,-0.609617,-2.67954/2.18724,-0.609617,-2.67954;1,3,1,0;40.637882525982;0,1,0;0,1,0;2,1,1/3,2,0/3,9,0/3,10,0;
"
1535,1513,"0,1513;2.183,-0.61179,-2.67976/2.183,-0.61179,-2.67976/2.183,-0.61179,-2.67976;1,3,1,0;40.637883049843;1,0,1;1,0,0;1,1,2;
"
1536,1514,"2,1514;1.09873,3.73509,-1.72264/1.09873,3.73509,-1.72264/1.09873,3.73509,-1.72264;1,7,1,0;40.165385178276;1,0,1;0,1,0;2,1,2;
"
1537,1514,"0,1514;1.33035,4.1083,-0.0990788/1.33035,4.10875,-0.0980582/1.33034,4.10786,-0.100099;1,20,1,0;40.143172322929;2,1,1;1,1,0;1,8,1/3,1,2;
"
1538,1514,"0,1514;1.33004,4.10131,-0.127442/1.33004,4.10131,-0.127442/1.33004,4.10131,-0.127442;1,20,1,0;40.143146196521;1,0,1;0,1,0;3,1,2;
"
1539,1517,"2,1517;-0.322922,-2.19608,1.49513/-0.322922,-2.19608,1.49513/-0.322922,-2.19608,1.49513;1,22,1,0;40.466047745648;1,0,1;0,1,0;3,1,2;
"
1540,1518,"2,1518;-3.261,1.51638,-1.34022/-3.261,1.51638,-1.34022/-3.261,1.51638,-1.34022;1,7,1,0;40.513906784853;1,0,1;1,0,0;4,1,2;
"
1541,1518,"0,1518;1.17322,1.93956,-0.150085/1.17322,1.93956,-0.150085/1.17322,1.93956,-0.150085;1,13,1,0;40.756472666103;0,1,0;0,1,0;3,1,1/3,7,0;
"
1542,1520,"2,1520;0.983554,-2.55373,-2.32347/0.983554,-2.55373,-2.32347/0.983554,-2.55373,-2.32347;1,3,1,0;40.944303876175;1,0,1;0,1,0;2,1,2;
"
1543,1520,"0,1520;0.996419,-2.5609,-2.32148/0.996419,-2.5609,-2.32148/0.996419,-2.5609,-2.32148;1,3,1,0;40.944305089117;1,0,1;1,0,0;4,1,2;
"
1544,1524,"2,1524;1.4386,0.359305,-0.451762/1.4386,0.359305,-0.451762/1.4386,0.359305,-0.451762;1,12,1,0;40.879315381781;1,0,1;1,0,0;1,1,2;
"
1545,1528,"2,1528;-0.810406,0.920835,0.857564/-0.810406,0.920835,0.857564/-0.810406,0.920835,0.857564;1,23,1,0;40.128280761574;0,1,0;0,1,0;2,1,1;
"
1546,1529,"2,1529;-0.519111,-0.403251,-3.78202/-0.519111,-0.403251,-3.78202/-0.519111,-0.403251,-3.78202;1,1,1,0;40.440672560904;1,0,1;1,0,0;4,1,2;
"
1547,1529,"0,1529;-0.517205,-0.404441,-3.77867/-0.517205,-0.404441,-3.77867/-0.517205,-0.404441,-3.77867;1,1,1,0;40.440672655832;0,1,0;1,0,0;4,1,1;
"
1548,1530,"2,1530;-3.94152,-0.414182,1.91433/-3.94152,-0.414182,1.91433/-3.94152,-0.414182,1.91433;1,30,1,0;40.555636063606;1,0,1;1,0,0;4,1,2;
"
1549,1530,"0,1530;0.0426619,-0.39639,3.87002/0.0426619,-0.39639,3.87002/0.0426619,-0.39639,3.87002;1,46,1,0;40.129804198536;1,0,1;1,0,0;4,1,2;
"
1550,1534,"2,1534;1.02959,-1.44602,-1.36889/1.02959,-1.44602,-1.36889/1.02959,-1.44602,-1.36889;1,8,1,0;40.71076786622;1,0,1;0,1,0;2,1,2;
"
1551,1534,"0,1534;-0.1342,-2.11706,-1.8066/-0.1342,-2.11706,-1.8066/-0.1342,-2.11706,-1.8066;1,8,1,0;40.226230045378;1,0,1;1,0,0;4,1,2;
"
1552,1534,"0,1534;0.709484,-1.63398,-1.49572/0.709484,-1.63398,-1.49572/0.709484,-1.63398,-1.49572;1,8,1,0;40.664775159264;0,1,0;1,0,0;1,1,1;
"
1553,1535,"2,1535;0.178938,0.0458199,1.91815/0.178938,0.0458199,1.91815/0.178938,0.0458199,1.91815;1,30,1,0;40.749137530636;0,1,0;0,1,0;2,7,0/3,1,1/3,10,0/4,3,0;
"
1554,1535,"0,1535;0.0342851,1.09889,3.22815/0.0342851,1.09889,3.22815/0.0342851,1.09889,3.22815;1,42,1,0;40.399132171751;1,0,1;1,0,0;1,1,2;
"
1555,1538,"2,1538;1.21829,1.38253,-1.95553/1.21841,1.38292,-1.95509/1.21817,1.38214,-1.95597;1,4,1,0;40.71754930951;2,1,1;0,2,0;2,1,1/2,3,2/2,4,0/3,4,0/3,5,0;
"
1556,1538,"0,1538;1.21901,1.38184,-1.9527/1.21916,1.38219,-1.95225/1.21887,1.38149,-1.95316;1,4,1,0;40.7175567282;2,1,1;1,1,0;1,1,2/2,1,0/2,4,1;
"
1557,1539,"2,1539;2.33748,1.22502,-3.28196/2.33748,1.22502,-3.28196/2.33748,1.22502,-3.28196;1,3,1,0;40.220446600338;0,1,0;0,1,0;3,1,1;
"
1558,1540,"2,1540;1.1486,-1.65144,0.13194/1.1486,-1.65144,0.13194/1.1486,-1.65144,0.13194;1,15,1,0;40.620689097928;1,0,1;1,0,0;1,1,2;
"
1559,1541,"2,1541;1.79181,-3.09728,0.74844/1.79247,-3.09651,0.748679/1.79115,-3.09806,0.748201;1,19,1,0;40.97833295731;2,2,1;1,2,1;2,10,2/3,3,1/4,1,1;
"
1560,1541,"0,1541;1.79194,-3.10279,0.750609/1.79268,-3.10184,0.750719/1.79121,-3.10375,0.7505;1,19,1,0;40.978333145322;2,1,1;1,1,0;1,6,0/1,10,0/2,3,0/2,4,0/2,7,0/2,9,0/2,10,1/3,8,0/4,1,2/4,6,0/4,9,0/4,10,0;
"
1561,1541,"0,1541;1.79091,-3.09602,0.748387/1.79129,-3.09534,0.748746/1.79052,-3.0967,0.748029;1,19,1,0;40.978332928385;2,1,1;2,0,0;1,1,2/1,2,1/3,7,1/4,5,1;
"
1562,1543,"2,1543;-1.7177,1.52209,-1.02539/-1.7177,1.52209,-1.02539/-1.7177,1.52209,-1.02539;1,7,1,0;40.531259965166;0,1,0;1,0,0;4,1,1;
"
1563,1545,"2,1545;2.43414,0.749578,-2.94999/2.4346,0.749732,-2.94936/2.43368,0.749424,-2.95061;1,3,1,0;40.259463811216;2,2,1;1,2,1;1,7,1/2,3,0/2,4,1/2,9,0/3,1,2/3,6,0;
"
1564,1545,"0,1545;2.43274,0.74791,-2.95213/2.43274,0.74791,-2.95213/2.43274,0.74791,-2.95213;1,3,1,0;40.259463924048;1,0,1;0,1,0;3,1,2;
"
1565,1545,"0,1545;2.4337,0.748805,-2.95055/2.43371,0.749464,-2.95048/2.43368,0.748146,-2.95061;1,3,1,0;40.259463835395;1,0,1;1,0,0;1,1,1/1,8,2/2,3,0/2,7,0/3,9,0/3,10,0;
"
1566,1545,"0,1545;1.46975,2.53647,-1.12875/1.46975,2.53647,-1.12875/1.46975,2.53647,-1.12875;1,7,1,0;40.699043221335;0,1,0;0,1,0;3,1,1;
"
1567,1548,"2,1548;-2.14439,-0.817896,-2.90507/-2.14433,-0.817883,-2.90507/-2.14445,-0.817909,-2.90508;1,2,1,0;40.476727705369;2,1,1;1,1,0;2,2,2/4,1,1;
"
1568,1549,"2,1549;0.765497,-0.991525,-2.67608/0.765497,-0.991525,-2.67608/0.765497,-0.991525,-2.67608;1,3,1,0;40.606088814742;1,0,1;1,0,0;1,1,2;
"
1569,1550,"2,1550;0.0199073,2.60356,2.63759/0.0199073,2.60356,2.63759/0.0199073,2.60356,2.63759;1,38,1,0;40.507378304157;0,1,0;0,1,0;3,1,1;
"
1570,1550,"0,1550;0.022847,2.60393,2.63847/0.022847,2.60393,2.63847/0.022847,2.60393,2.63847;1,38,1,0;40.50738037069;1,0,1;1,0,0;4,1,2;
"
1571,1551,"2,1551;-3.37772,-1.67163,0.739616/-3.37772,-1.67163,0.739616/-3.37772,-1.67163,0.739616;1,21,1,0;40.256471753657;0,1,0;0,1,0;3,1,1;
"
1572,1552,"2,1552;2.67631,-1.19024,-2.68335/2.67673,-1.19012,-2.68283/2.67588,-1.19036,-2.68387;1,3,1,0;40.61582313616;1,0,2;1,1,0;3,1,2/4,4,2;
"
1573,1557,"2,1557;2.66773,-0.45026,1.64478/2.66773,-0.45026,1.64478/2.66773,-0.45026,1.64478;1,27,1,0;40.726633175315;0,1,0;0,1,0;2,1,1;
"
1574,1563,"2,1563;2.45648,0.766826,-0.695345/2.45648,0.766826,-0.695345/2.45648,0.766826,-0.695345;1,12,1,0;40.3805214613;0,1,0;1,0,0;2,4,0/2,5,0/3,2,0/3,4,0/4,1,1;
"
1575,1563,"0,1563;2.45772,0.765671,-0.695173/2.45772,0.765671,-0.695173/2.45772,0.765671,-0.695173;1,12,1,0;40.38052213075;0,1,0;1,0,0;2,1,0/3,1,0/3,2,0/3,3,0/3,4,0/4,1,1;
"
1576,1563,"0,1563;2.4591,0.766955,-0.697626/2.4591,0.766955,-0.697626/2.4591,0.766955,-0.697626;1,12,1,0;40.380522210855;1,0,1;1,0,0;4,1,2;
"
1577,1563,"0,1563;2.23141,0.6729,-0.220884/2.23141,0.6729,-0.220884/2.23141,0.6729,-0.220884;1,13,1,0;40.938178115648;1,0,1;0,1,0;2,1,2;
"
1578,1563,"0,1563;2.2217,0.663246,-0.190481/2.2217,0.663246,-0.190481/2.2217,0.663246,-0.190481;1,13,1,0;40.938213544033;1,0,1;0,1,0;2,1,2;
"
1579,1563,"0,1563;1.12019,0.173729,2.306/1.12029,0.173986,2.30645/1.1201,0.173472,2.30555;1,31,1,0;40.873974000538;0,2,0;1,1,0;1,5,0/1,7,0/1,8,0/2,4,1/2,5,0/2,9,0/2,10,0/3,4,0/3,5,0/3,6,0/3,9,0/3,10,0/4,1,1;
"
1580,1563,"0,1563;1.11815,0.168344,2.29863/1.11815,0.168344,2.29863/1.11815,0.168344,2.29863;1,31,1,0;40.8739759283;1,0,1;0,1,0;2,1,2;
"
1581,1563,"0,1563;1.12232,0.171256,2.30145/1.12232,0.171256,2.30145/1.12232,0.171256,2.30145;1,31,1,0;40.873974264916;0,1,0;1,0,0;1,1,1/1,2,0/2,6,0/2,10,0/3,7,0;
"
1582,1563,"0,1563;1.12028,0.171093,2.29793/1.12028,0.171093,2.29793/1.12028,0.171093,2.29793;1,31,1,0;40.873974452185;1,0,1;1,0,0;1,1,2/1,6,0/3,1,0/4,8,0;
"
1583,1563,"0,1563;1.11906,0.167811,2.30172/1.11906,0.167811,2.30172/1.11906,0.167811,2.30172;1,31,1,0;40.873975586811;0,1,0;1,0,0;4,1,1;
"
1584,1564,"2,1564;-0.142467,-1.3754,-2.70345/-0.142467,-1.3754,-2.70345/-0.142467,-1.3754,-2.70345;1,3,1,0;40.598308913309;0,1,0;0,1,0;2,1,1;
"
1585,1564,"0,1564;1.54141,-3.10354,-2.89478/1.54141,-3.10354,-2.89478/1.54141,-3.10354,-2.89478;1,3,1,0;40.456371152134;1,0,1;1,0,0;4,1,2;
"
1586,1565,"2,1565;-3.19293,1.80391,-0.204972/-3.19293,1.80391,-0.204972/-3.19293,1.80391,-0.204972;1,14,1,0;40.500105312657;1,0,1;1,0,0;1,1,2;
"
1587,1566,"2,1566;1.97273,-3.18504,0.914557/1.97273,-3.18504,0.914557/1.97273,-3.18504,0.914557;1,19,1,0;40.975081604348;1,0,1;1,0,0;1,1,2;
"
1588,1566,"0,1566;0.725173,-0.665809,3.93475/0.725173,-0.665809,3.93475/0.725173,-0.665809,3.93475;1,46,1,0;40.0954569080041;0,1,0;0,1,0;3,1,1;
"
1589,1567,"2,1567;-2.69791,0.809886,-1.2157/-2.69791,0.809886,-1.2157/-2.69791,0.809886,-1.2157;1,10,1,0;40.266184766576;0,1,0;1,0,0;4,1,1;
"
1590,1567,"0,1567;-2.35512,1.6852,0.779552/-2.35512,1.6852,0.779552/-2.35512,1.6852,0.779552;1,24,1,0;40.184402814666;1,0,1;0,1,0;1,4,0/2,5,0/3,1,2;
"
1591,1567,"0,1567;-2.35242,1.68261,0.78044/-2.35242,1.68261,0.78044/-2.35242,1.68261,0.78044;1,24,1,0;40.184402925514;1,0,1;1,0,0;4,1,2;
"
1592,1568,"2,1568;-0.402196,-2.55203,1.40512/-0.402196,-2.55203,1.40512/-0.402196,-2.55203,1.40512;1,22,1,0;40.473745023312;0,1,0;0,1,0;3,1,1;
"
1593,1568,"0,1568;-0.177746,-2.64268,1.42488/-0.177746,-2.64268,1.42488/-0.177746,-2.64268,1.42488;1,22,1,0;40.477881742539;0,1,0;0,1,0;3,1,1;
"
1594,1569,"2,1569;1.92503,2.02273,-0.597951/1.92503,2.02273,-0.597951/1.92503,2.02273,-0.597951;1,13,1,0;40.457082550105;0,1,0;0,1,0;2,8,0/3,1,1;
"
1595,1569,"0,1569;1.91894,2.01872,-0.598215/1.91894,2.01872,-0.598215/1.91894,2.01872,-0.598215;1,13,1,0;40.45709383844;1,0,1;0,1,0;3,1,2;
"
1596,1569,"0,1569;1.92067,2.0236,-0.596919/1.92067,2.0236,-0.596919/1.92067,2.0236,-0.596919;1,13,1,0;40.457093216782;0,1,0;1,0,0;4,1,1;
"
1597,1569,"0,1569;-0.759154,2.33991,-0.173911/-0.759154,2.33991,-0.173911/-0.759154,2.33991,-0.173911;1,17,1,0;40.14506505807;0,1,0;0,1,0;3,1,1;
"
1598,1570,"2,1570;0.0870369,0.700992,-3.26997/0.0870369,0.700992,-3.26997/0.0870369,0.700992,-3.26997;1,2,1,0;40.329948177224;1,0,1;1,0,0;1,1,2;
"
1599,1570,"0,1570;-0.520722,0.861046,-1.95897/-0.520722,0.861046,-1.95897/-0.520722,0.861046,-1.95897;1,4,1,0;40.671115193204;1,0,1;0,1,0;2,1,2;
"
1600,1570,"0,1570;-0.516028,0.860714,-1.95839/-0.515492,0.861,-1.95796/-0.516564,0.860428,-1.95882;1,4,1,0;40.671115052165;0,1,0;1,0,0;1,1,1/1,3,0/1,9,3;
"
1601,1570,"0,1570;-0.517281,0.860655,-1.95899/-0.516564,0.861,-1.95882/-0.517999,0.86031,-1.95917;1,4,1,0;40.671115084402;1,0,1;1,0,0;1,1,3/1,10,2;
"
1602,1570,"0,1570;-1.49923,1.14559,0.138382/-1.49901,1.14567,0.139278/-1.49946,1.14552,0.137486;1,16,1,0;40.540944893597;0,2,0;1,1,0;2,4,0/2,6,1/4,1,1;
"
1603,1571,"2,1571;1.73251,3.57117,-0.575199/1.73295,3.57126,-0.574961/1.73207,3.57108,-0.575436;1,13,1,0;40.655355908773;1,0,2;0,2,0;2,1,2/2,8,2;
