,PartNumber,Info
0,1,"2,1;1.09313,0.171146,-1.15961/1.09313,0.171146,-1.15961/1.09313,0.171146,-1.15961;1,11,1,0;40.737890174766;0,0,0;0,0,0;3,1,3;
"
32,24,"0,24;-0.744894,2.51028,0.451026/-0.744894,2.51028,0.451026/-0.744894,2.51028,0.451026;1,25,1,0;40.0772652350949;1,0,1;1,0,0;1,1,2;
"
33,24,"0,24;0.265489,0.289114,2.6132/0.265489,0.289114,2.6132/0.265489,0.289114,2.6132;1,34,1,0;40.925551826158;1,0,1;0,1,0;3,1,2;
"
34,24,"0,24;0.261714,0.284491,2.59937/0.261714,0.284491,2.59937/0.261714,0.284491,2.59937;1,34,1,0;40.925559247535;1,0,1;1,0,0;4,1,2;
"
35,24,"0,24;0.99625,-1.21738,4.05423/0.99625,-1.21738,4.05423/0.99625,-1.21738,4.05423;1,46,1,0;40.780720580484;1,0,1;1,0,0;4,1,2;
"
36,25,"2,25;1.03328,-1.48226,-1.81557/1.03328,-1.48226,-1.81557/1.03328,-1.48226,-1.81557;1,8,1,0;40.165540325492;0,1,0;0,1,0;2,1,1;
"
37,27,"2,27;-3.14776,0.5701,-2.6263/-3.14776,0.5701,-2.6263/-3.14776,0.5701,-2.6263;1,2,1,0;40.859920023162;1,0,1;0,1,0;3,1,2;
"
38,30,"2,30;-2.7622,1.64284,0.163195/-2.7622,1.64284,0.163195/-2.7622,1.64284,0.163195;1,14,1,0;40.73400470614;1,0,1;1,0,0;4,1,2;
"
39,33,"2,33;-2.715,0.205117,-1.7088/-2.71425,0.205635,-1.70869/-2.71575,0.2046,-1.7089;1,6,1,0;40.763856940936;1,0,1;0,1,0;1,1,3/2,1,0/2,2,0/2,4,0/2,9,2/4,7,0;
"
40,33,"0,33;-2.71573,0.204592,-1.71001/-2.71562,0.204707,-1.70913/-2.71585,0.204476,-1.71088;1,6,1,0;40.763856994847;2,1,1;2,0,0;1,9,2/3,4,0/4,1,1;
"
41,33,"0,33;-2.71476,0.204943,-1.72073/-2.71476,0.204943,-1.72073/-2.71476,0.204943,-1.72073;1,6,1,0;40.763848133848;1,0,1;1,0,0;4,1,2;
"
42,36,"2,36;-1.83106,-2.41749,-2.59963/-1.83106,-2.41749,-2.59963/-1.83106,-2.41749,-2.59963;1,5,1,0;40.285056929958;0,1,0;0,1,0;2,1,1;
"
43,36,"0,36;1.32332,-1.35891,-0.680964/1.32332,-1.35891,-0.680964/1.32332,-1.35891,-0.680964;1,12,1,0;40.567066494097;0,1,0;0,1,0;3,1,1;
"
44,37,"2,37;-0.404664,1.92316,1.41107/-0.404664,1.92316,1.41107/-0.404664,1.92316,1.41107;1,29,1,0;40.244954547403;0,1,0;0,1,0;3,1,1;
"
45,40,"2,40;1.35712,-2.90554,0.634959/1.35829,-2.90552,0.635288/1.35595,-2.90557,0.634631;1,18,1,0;40.615525744248;1,0,2;1,1,0;1,1,2/2,10,2;
"
46,40,"0,40;1.36418,-2.90028,0.636076/1.36418,-2.90028,0.636076/1.36418,-2.90028,0.636076;1,18,1,0;40.615513643503;0,1,0;1,0,0;1,1,1;
"
47,40,"0,40;1.35963,-2.90272,0.626494/1.35963,-2.90272,0.626494/1.35963,-2.90272,0.626494;1,18,1,0;40.615525256034;1,0,1;1,0,0;4,1,2;
"
48,40,"0,40;1.35878,-2.90497,0.634615/1.35928,-2.90443,0.634631/1.35829,-2.90552,0.6346;1,18,1,0;40.615525681478;1,0,1;1,0,0;1,1,2/1,10,2;
"
49,42,"2,42;-3.8573,0.644849,-0.195913/-3.85729,0.644863,-0.195877/-3.8573,0.644834,-0.19595;1,14,1,0;40.415766234214;0,2,0;1,1,0;1,1,1/2,1,1;
"
50,47,"2,47;1.05944,-1.29468,0.617244/1.05944,-1.29468,0.617244/1.05944,-1.29468,0.617244;1,19,1,0;40.426037803386;1,0,1;0,1,0;3,1,2;
"
51,48,"2,48;0.432029,1.37068,0.496917/0.432573,1.37093,0.497565/0.431485,1.37044,0.496269;1,17,1,0;40.887079033558;0,2,0;1,1,0;2,1,1/2,4,0/3,4,0/4,7,1;
"
52,48,"0,48;0.426839,1.36762,0.494422/0.426839,1.36762,0.494422/0.426839,1.36762,0.494422;1,17,1,0;40.887078719706;1,0,1;1,0,0;1,1,2/3,6,0;
"
53,50,"2,50;0.613566,2.90387,-0.0479663/0.613566,2.90387,-0.0479663/0.613566,2.90387,-0.0479663;1,17,1,0;40.212381656805;1,0,1;1,0,0;3,2,0/4,1,2;
"
54,51,"2,51;-0.305935,-1.76995,3.89468/-0.305935,-1.76995,3.89468/-0.305935,-1.76995,3.89468;1,45,1,0;40.828219399021;1,0,1;1,0,0;4,1,2;
"
55,53,"2,53;0.997407,1.93446,-0.100192/0.997407,1.93446,-0.100192/0.997407,1.93446,-0.100192;1,13,1,0;40.755502293982;1,0,1;1,0,0;4,1,2;
"
56,53,"0,53;0.629756,0.477406,1.68089/0.629756,0.477406,1.68089/0.629756,0.477406,1.68089;1,27,1,0;40.535558873689;0,1,0;0,1,0;1,9,0/3,1,1/3,3,0/3,9,0;
"
57,55,"2,55;-1.2197,-1.51082,2.25668/-1.2197,-1.51082,2.25668/-1.2197,-1.51082,2.25668;1,34,1,0;40.148990892287;1,0,1;0,1,0;2,1,2;
"
58,56,"2,56;0.520261,2.6042,-2.64569/0.520261,2.6042,-2.64569/0.520261,2.6042,-2.64569;1,4,1,0;40.151800670543;1,0,1;1,0,0;4,1,2;
"
59,57,"2,57;-0.392661,2.55932,1.3455/-0.392661,2.55932,1.3455/-0.392661,2.55932,1.3455;1,29,1,0;40.205287083903;0,1,0;0,1,0;2,1,1;
"
60,58,"2,58;-1.45625,-2.70579,-1.99339/-1.45623,-2.70575,-1.99334/-1.45627,-2.70583,-1.99345;1,5,1,0;40.749816452836;2,1,1;1,1,0;3,1,2/4,1,1;
"
61,60,"2,60;-2.76657,2.35795,0.730468/-2.76657,2.35795,0.730468/-2.76657,2.35795,0.730468;1,24,1,0;40.131949832914;1,0,1;0,1,0;2,1,2;
"
62,63,"2,63;-1.504,2.99108,-1.71439/-1.504,2.99108,-1.71439/-1.504,2.99108,-1.71439;1,6,1,0;40.585056243819;1,0,1;1,0,0;1,1,2;
"
63,64,"2,64;2.97781,-1.71086,1.68276/2.97781,-1.71086,1.68276/2.97781,-1.71086,1.68276;1,27,1,0;40.968011505113;1,0,1;1,0,0;1,1,2;
"
64,65,"2,65;2.88335,-3.60697,-0.169388/2.88335,-3.60697,-0.169388/2.88335,-3.60697,-0.169388;1,15,1,0;40.322872773885;1,0,1;0,1,0;3,1,2;
"
65,65,"0,65;2.88942,-3.61002,-0.173019/2.88942,-3.61002,-0.173019/2.88942,-3.61002,-0.173019;1,15,1,0;40.322861435697;1,0,1;1,0,0;4,1,2;
"
66,66,"2,66;-3.1728,0.0486213,-1.98987/-3.17231,0.0487547,-1.98966/-3.17328,0.048488,-1.99007;1,6,1,0;40.345697431192;2,1,1;0,2,0;1,5,0/3,1,2/3,2,0/3,4,1;
"
67,66,"0,66;-3.17492,0.0514708,-1.98742/-3.17492,0.0514708,-1.98742/-3.17492,0.0514708,-1.98742;1,6,1,0;40.345697352777;1,0,1;1,0,0;3,10,0/4,1,2;
"
68,66,"0,66;-3.18035,0.0507047,-1.99089/-3.18035,0.0507047,-1.99089/-3.18035,0.0507047,-1.99089;1,6,1,0;40.345697833074;1,0,1;1,0,0;4,1,2;
"
69,66,"0,66;-3.19111,0.0412866,-1.99377/-3.19111,0.0412866,-1.99377/-3.19111,0.0412866,-1.99377;1,6,1,0;40.345699719957;1,0,1;1,0,0;1,1,2;
"
70,67,"2,67;3.34894,1.80872,-1.32459/3.3495,1.80897,-1.32405/3.34839,1.80847,-1.32512;1,11,1,0;40.253722060486;1,0,2;1,1,0;1,1,2/1,5,0/2,5,0/2,6,0/3,5,2;
"
71,68,"2,68;-0.879548,1.45617,1.1101/-0.879548,1.45617,1.1101/-0.879548,1.45617,1.1101;1,25,1,0;40.787001285843;1,0,1;1,0,0;1,1,2;
"
72,71,"2,71;-1.42465,-0.0149702,-2.54014/-1.42465,-0.0149702,-2.54014/-1.42465,-0.0149702,-2.54014;1,2,1,0;40.927720023321;0,1,0;0,1,0;2,1,1;
"
73,71,"0,71;-1.3321,-0.696928,-2.28957/-1.3321,-0.696928,-2.28957/-1.3321,-0.696928,-2.28957;1,5,1,0;40.435545853219;0,1,0;0,1,0;2,5,0/3,1,1;
"
74,74,"2,74;1.53108,2.44579,1.49098/1.53108,2.44579,1.49098/1.53108,2.44579,1.49098;1,28,1,0;40.12888826578;1,0,1;0,1,0;3,1,2;
"
75,74,"0,74;1.53899,2.46355,1.4495/1.53899,2.46355,1.4495/1.53899,2.46355,1.4495;1,28,1,0;40.128833309391;1,0,1;1,0,0;1,1,2;
"
76,75,"2,75;0.108428,0.864998,2.61227/0.108428,0.864998,2.61227/0.108428,0.864998,2.61227;1,38,1,0;40.906341057575;1,0,1;1,0,0;1,1,2;
"
77,77,"2,77;-2.0267,-3.70375,0.651014/-2.0267,-3.70375,0.651014/-2.0267,-3.70375,0.651014;1,18,1,0;40.740189329584;1,0,1;1,0,0;2,4,0/4,1,2;
"
78,78,"2,78;1.94676,-0.071576,-3.2314/1.94676,-0.071576,-3.2314/1.94676,-0.071576,-3.2314;1,3,1,0;40.183915013479;0,1,0;1,0,0;4,1,1;
"
79,81,"2,81;1.99513,1.1859,1.94095/1.9956,1.18641,1.94167/1.99466,1.18538,1.94022;1,28,1,0;40.638921849216;0,2,0;1,1,0;1,1,1/2,2,0/2,4,0/2,8,1/3,4,0/3,5,0/3,6,0;
"
80,81,"0,81;1.99493,1.19087,1.93776/1.99493,1.19087,1.93776/1.99493,1.19087,1.93776;1,28,1,0;40.63892318445;0,1,0;0,1,0;3,1,1/3,7,0/3,8,0;
"
81,81,"0,81;1.99205,1.17907,1.94169/1.99205,1.17907,1.94169/1.99205,1.17907,1.94169;1,28,1,0;40.638936463122;0,1,0;0,1,0;2,5,0/3,1,1/3,2,0/3,7,0/3,10,0;
"
82,81,"0,81;3.78057,0.783818,2.07638/3.78057,0.783818,2.07638/3.78057,0.783818,2.07638;1,28,1,0;40.665559923459;1,0,1;0,1,0;2,1,2;
"
83,81,"0,81;1.99355,1.17693,1.94081/1.99355,1.17693,1.94081/1.99355,1.17693,1.94081;1,28,1,0;40.638936371037;1,0,1;1,0,0;2,7,0/2,8,0/2,9,0/4,1,2;
"
84,81,"0,81;1.98917,1.18308,1.94095/1.98917,1.18308,1.94095/1.98917,1.18308,1.94095;1,28,1,0;40.638938120654;1,0,1;1,0,0;1,1,2/1,2,0/3,2,0/3,3,0/3,4,0;
"
85,82,"2,82;-1.31971,0.136525,1.67024/-1.31971,0.136525,1.67024/-1.31971,0.136525,1.67024;1,30,1,0;40.193377539053;1,0,1;1,0,0;4,1,2;
"
86,83,"2,83;1.28679,0.778768,-2.55961/1.28679,0.778768,-2.55961/1.28679,0.778768,-2.55961;1,3,1,0;40.682708740837;1,0,1;1,0,0;1,1,2;
