,PartNumber,Info
0,0,"2,0;3.58131,1.05166,2.31056/3.58131,1.05166,2.31056/3.58131,1.05166,2.31056;1,31,1,0;40.765496492573;0,1,0;1,0,0;1,1,1;
"
1,1,"2,1;-1.51947,2.79901,-1.74928/-1.51947,2.79901,-1.74928/-1.51947,2.79901,-1.74928;1,6,1,0;40.584542614642;0,1,0;0,1,0;3,1,1;
"
2,3,"2,3;-2.33076,0.496516,-1.20569/-2.33076,0.496516,-1.20569/-2.33076,0.496516,-1.20569;1,10,1,0;40.236330675335;0,1,0;0,1,0;3,1,1;
"
3,3,"0,3;1.02242,4.26521,-0.486106/1.02242,4.26521,-0.486106/1.02242,4.26521,-0.486106;1,13,1,0;40.71430116958;0,1,0;1,0,0;4,1,1;
"
4,5,"2,5;-0.864202,2.67919,1.64108/-0.864202,2.67919,1.64108/-0.864202,2.67919,1.64108;1,29,1,0;40.381811538297;1,0,1;1,0,0;1,1,2;
"
5,6,"2,6;-1.38102,-1.0589,-2.41389/-1.38102,-1.0589,-2.41389/-1.38102,-1.0589,-2.41389;1,5,1,0;40.444920897941;1,0,1;1,0,0;3,1,0/3,2,0/4,1,2;
"
6,6,"0,6;0.165502,1.0977,1.05743/0.165502,1.0977,1.05743/0.165502,1.0977,1.05743;1,25,1,0;40.749191479148;1,0,1;1,0,0;1,1,2;
"
7,8,"2,8;-1.2058,-1.52724,4.15089/-1.2058,-1.52724,4.15089/-1.2058,-1.52724,4.15089;1,46,1,0;40.810115479951;0,1,0;1,0,0;1,1,1;
"
8,9,"2,9;-1.46102,1.19382,-1.37122/-1.46102,1.19382,-1.37122/-1.46102,1.19382,-1.37122;1,11,1,0;40.273280973208;1,0,1;1,0,0;1,1,2;
"
9,9,"0,9;-0.851893,4.04734,-0.284762/-0.851893,4.04734,-0.284762/-0.851893,4.04734,-0.284762;1,17,1,0;40.32013017891;1,0,1;0,1,0;2,1,2;
"
10,10,"2,10;-0.126207,2.25399,3.2009/-0.126207,2.25399,3.2009/-0.126207,2.25399,3.2009;1,43,1,0;40.047832776675;0,1,0;1,0,0;2,2,0/4,1,1;
"
11,11,"2,11;-1.76353,2.74209,-1.94289/-1.76353,2.74209,-1.94289/-1.76353,2.74209,-1.94289;1,6,1,0;40.510612663583;1,0,1;1,0,0;1,1,2;
"
12,11,"0,11;-2.15641,3.42444,-0.197245/-2.15641,3.42444,-0.197245/-2.15641,3.42444,-0.197245;1,14,1,0;40.608790627851;1,0,1;1,0,0;4,1,2;
"
13,14,"2,14;2.26124,-1.7697,-1.39994/2.26124,-1.7697,-1.39994/2.26124,-1.7697,-1.39994;1,8,1,0;40.676036331244;1,0,1;0,1,0;3,1,2/3,4,0;
