,PartNumber,Info
0,0,"2,0;-2.59774,-1.79113,-2.71511/-2.59774,-1.79113,-2.71511/-2.59774,-1.79113,-2.71511;1,5,1,0;40.331155639918;0,1,0;1,0,0;1,1,1;
"
1,0,"0,0;-0.194815,0.903561,-0.763218/-0.194815,0.903561,-0.763218/-0.194815,0.903561,-0.763218;1,13,1,0;40.339152568558;1,0,1;1,0,0;4,1,2;
"
2,2,"2,2;0.989844,-1.786,2.30622/0.989844,-1.786,2.30622/0.989844,-1.786,2.30622;1,33,1,0;40.509748371663;1,0,1;1,0,0;1,1,2;
"
3,2,"0,2;1.90206,-1.08756,2.68982/1.90206,-1.08756,2.68982/1.90206,-1.08756,2.68982;1,34,1,0;40.594608986976;1,0,1;0,1,0;2,1,2;
"
4,5,"2,5;0.0861534,1.48778,1.13052/0.0861534,1.48778,1.13052/0.0861534,1.48778,1.13052;1,25,1,0;40.798542754275;1,0,1;1,0,0;4,1,2;
"
5,5,"0,5;0.0690089,0.0256617,2.1954/0.0692171,0.0257334,2.19664/0.0688007,0.02559,2.19416;1,31,1,0;40.888824395123;0,4,0;3,1,0;1,1,1/1,2,1/2,7,1/3,4,0/3,5,0/4,2,0/4,3,0/4,4,0/4,9,1;
"
6,5,"0,5;0.0691856,0.0249851,2.19525/0.0695704,0.0257334,2.19635/0.0688007,0.0242367,2.19416;1,31,1,0;40.888824406139;1,0,1;1,0,0;1,1,1/2,6,1/3,3,0/3,4,0/4,1,0/4,2,0/4,3,0/4,8,1/4,10,2;
"
7,6,"2,6;1.11463,1.87028,1.93742/1.11463,1.87028,1.93742/1.11463,1.87028,1.93742;1,31,1,0;40.206672747382;1,0,1;1,0,0;1,1,2;
"
8,7,"2,7;1.64728,0.398208,-1.99646/1.64728,0.398208,-1.99646/1.64728,0.398208,-1.99646;1,4,1,0;40.63360816338;1,0,1;1,0,0;1,1,2;
"
9,8,"2,8;2.56099,0.0683196,-1.18245/2.56099,0.0683196,-1.18245/2.56099,0.0683196,-1.18245;1,11,1,0;40.726502325337;1,0,1;1,0,0;4,1,2;
