,PartNumber,Info
0,2,"2,2;-0.799372,2.61348,-1.31352/-0.799372,2.61348,-1.31352/-0.799372,2.61348,-1.31352;1,7,1,0;40.348907086556;1,0,1;1,0,0;1,1,2;
"
1,4,"2,4;0.146558,0.848243,-2.80587/0.146558,0.848243,-2.80587/0.146558,0.848243,-2.80587;1,2,1,0;40.618931328296;1,0,1;1,0,0;4,1,2;
"
2,5,"2,5;-2.11179,2.79092,1.26183/-2.11179,2.79092,1.26183/-2.11179,2.79092,1.26183;1,24,1,0;40.439541508338;1,0,1;0,1,0;3,1,2;
"
3,6,"2,6;2.40616,-2.50133,-0.498931/2.40616,-2.50133,-0.498931/2.40616,-2.50133,-0.498931;1,15,1,0;40.139020013609;1,0,1;1,0,0;4,1,2;
"
4,7,"2,7;3.07736,2.78032,0.208268/3.07736,2.78032,0.208268/3.07736,2.78032,0.208268;1,20,1,0;40.239205317552;0,1,0;0,1,0;1,9,0/2,1,1/2,8,0/2,9,0/3,4,0;
"
5,8,"2,8;-0.0997029,-1.01952,1.9464/-0.0997029,-1.01952,1.9464/-0.0997029,-1.01952,1.9464;1,30,1,0;40.473004732291;1,0,1;0,1,0;3,1,2;
"
6,8,"0,8;-0.100038,-1.02381,1.94332/-0.100038,-1.02381,1.94332/-0.100038,-1.02381,1.94332;1,30,1,0;40.473002959387;1,0,1;1,0,0;1,1,2;
"
7,11,"2,11;-3.08341,1.73175,-2.01978/-3.08341,1.73175,-2.01978/-3.08341,1.73175,-2.01978;1,6,1,0;40.457597164676;0,1,0;1,0,0;4,1,1;
"
8,12,"2,12;0.988947,0.181534,-1.2285/0.988947,0.181534,-1.2285/0.988947,0.181534,-1.2285;1,11,1,0;40.738029426036;1,0,1;1,0,0;1,1,2;
"
9,13,"2,13;1.30479,1.97578,1.77512/1.30492,1.97598,1.77513/1.30465,1.97559,1.77511;1,28,1,0;40.263168270789;0,2,0;0,2,0;1,4,0/1,6,0/2,1,1/2,3,1/2,7,0/3,5,0/3,6,0/4,4,0/4,5,0;
"
10,13,"0,13;1.30196,1.97532,1.77368/1.30196,1.97532,1.77368/1.30196,1.97532,1.77368;1,28,1,0;40.263168454959;0,1,0;1,0,0;4,1,1;
"
11,13,"0,13;0.608213,1.21655,2.95388/0.608567,1.21714,2.95483/0.60786,1.21596,2.95292;1,39,1,0;40.446461574729;2,2,1;3,0,0;1,5,0/1,7,0/3,8,0/4,1,2/4,7,1/4,8,1;
"
12,15,"2,15;0.797933,0.0445472,-2.10094/0.797933,0.0445472,-2.10094/0.797933,0.0445472,-2.10094;1,4,1,0;40.609044854669;1,0,1;1,0,0;1,1,2;
"
13,16,"2,16;0.475135,-0.428299,-1.49106/0.475135,-0.428299,-1.49106/0.475135,-0.428299,-1.49106;1,11,1,0;40.478163293098;0,1,0;0,1,0;2,1,0/2,2,0/3,1,1/3,2,0;
"
14,17,"2,17;0.874636,-1.44165,-2.87007/0.874636,-1.44165,-2.87007/0.874636,-1.44165,-2.87007;1,3,1,0;40.348286854693;1,0,1;1,0,0;2,2,0/4,1,2;
"
15,19,"2,19;-3.62489,-0.0777096,1.60164/-3.62489,-0.0777096,1.60164/-3.62489,-0.0777096,1.60164;1,24,1,0;40.782012055885;1,0,1;1,0,0;1,1,2;
"
16,22,"2,22;0.902158,2.59463,0.47918/0.902158,2.59463,0.47918/0.902158,2.59463,0.47918;1,25,1,0;40.0972955038361;1,0,1;0,1,0;3,1,2;
"
17,22,"0,22;0.903881,2.59272,0.480274/0.903881,2.59272,0.480274/0.903881,2.59272,0.480274;1,25,1,0;40.0972953666795;0,1,0;1,0,0;2,2,0/2,3,0/4,1,1;
"
18,22,"0,22;0.867537,2.60413,0.447654/0.867537,2.60413,0.447654/0.867537,2.60413,0.447654;1,25,1,0;40.0974207363594;1,0,1;1,0,0;4,1,2;
"
19,22,"0,22;2.58901,2.04505,1.87752/2.58901,2.04505,1.87752/2.58901,2.04505,1.87752;1,28,1,0;40.54315652073;0,1,0;0,1,0;2,1,1/2,2,0;
"
20,26,"2,26;0.115178,-1.01856,-2.73609/0.115178,-1.01856,-2.73609/0.115178,-1.01856,-2.73609;1,3,1,0;40.602483101424;1,0,1;1,0,0;1,1,2;
"
21,31,"2,31;-0.0946271,3.81219,-1.74641/-0.0946271,3.81219,-1.74641/-0.0946271,3.81219,-1.74641;1,7,1,0;40.157664374742;0,1,0;1,0,0;1,1,1/4,6,0/4,8,0;
"
22,31,"0,31;-0.514303,0.4265,-1.29039/-0.514303,0.4265,-1.29039/-0.514303,0.4265,-1.29039;1,11,1,0;40.353417048882;1,0,1;1,0,0;4,1,2;
"
23,33,"2,33;-1.10176,-2.10654,-0.572151/-1.10176,-2.10654,-0.572151/-1.10176,-2.10654,-0.572151;1,16,1,0;40.250867736327;1,0,1;1,0,0;1,1,2;
"
24,35,"2,35;-2.87571,-0.721516,0.11444/-2.87571,-0.721516,0.11444/-2.87571,-0.721516,0.11444;1,14,1,0;40.938575029267;0,1,0;0,1,0;3,1,1/3,2,0;
"
25,35,"0,35;-2.7195,-1.36005,1.56598/-2.7195,-1.36005,1.56598/-2.7195,-1.36005,1.56598;1,24,1,0;40.689858815931;0,1,0;0,1,0;2,1,1;
