,PartNumber,Info
0,1,"2,1;0.139694,-1.56818,1.19222/0.139694,-1.56818,1.19222/0.139694,-1.56818,1.19222;1,22,1,0;40.283726797283;1,0,1;1,0,0;4,1,2;
"
1,1,"0,1;2.71704,-0.950882,1.97355/2.71704,-0.950882,1.97355/2.71704,-0.950882,1.97355;1,33,1,0;40.280081161177;0,1,0;1,0,0;4,1,1;
"
2,5,"2,5;2.67568,1.93934,2.25216/2.67568,1.93934,2.25216/2.67568,1.93934,2.25216;1,31,1,0;40.465836803306;1,0,1;1,0,0;1,1,2;
"
3,6,"2,6;-1.28736,3.05083,2.67788/-1.28736,3.05083,2.67788/-1.28736,3.05083,2.67788;1,37,1,0;40.360581078516;1,0,1;1,0,0;2,8,0/4,1,2;
"
4,9,"2,9;-3.18461,2.53843,1.02261/-3.18461,2.53843,1.02261/-3.18461,2.53843,1.02261;1,24,1,0;40.395780151907;0,1,0;0,1,0;2,1,1;
"
5,20,"2,20;-0.570352,-0.710495,-2.38528/-0.570352,-0.710495,-2.38528/-0.570352,-0.710495,-2.38528;1,4,1,0;40.503240525151;1,0,1;1,0,0;1,1,2;
"
6,20,"0,20;-3.62447,0.240003,-1.11714/-3.62447,0.240003,-1.11714/-3.62447,0.240003,-1.11714;1,10,1,0;40.212324359074;1,0,1;1,0,0;4,1,2;
"
7,31,"2,31;1.81001,0.282701,2.29827/1.81001,0.282701,2.29827/1.81001,0.282701,2.29827;1,28,1,0;40.9255078125;0,1,0;0,1,0;3,1,1;
"
8,31,"0,31;1.80725,0.283195,2.29815/1.80725,0.283195,2.29815/1.80725,0.283195,2.29815;1,28,1,0;40.925507913794;0,1,0;0,1,0;3,1,1;
"
9,31,"0,31;0.452739,3.52309,1.75933/0.452739,3.52309,1.75933/0.452739,3.52309,1.75933;1,31,1,0;40.125418203369;1,0,1;1,0,0;4,1,2;
"
10,34,"2,34;2.64329,2.59383,1.3671/2.64329,2.59383,1.3671/2.64329,2.59383,1.3671;1,28,1,0;40.108660640618;0,1,0;1,0,0;1,1,1;
"
11,35,"2,35;2.28242,2.30271,-0.979565/2.28242,2.30271,-0.979565/2.28242,2.30271,-0.979565;1,11,1,0;40.921975723578;1,0,1;1,0,0;4,1,2;
"
12,35,"0,35;2.64572,2.20582,-0.870358/2.64572,2.20582,-0.870358/2.64572,2.20582,-0.870358;1,12,1,0;40.260416300472;0,1,0;0,1,0;3,1,1;
"
13,36,"2,36;-2.29525,1.98751,-1.71108/-2.29431,1.98811,-1.71051/-2.29619,1.9869,-1.71166;1,6,1,0;40.633712905594;2,2,2;2,2,0;1,4,2/2,3,0/2,4,0/2,6,0/2,7,0/2,8,0/2,9,0/3,3,0/3,4,0/3,5,1/3,7,0/3,8,2/3,9,0/4,1,1/4,3,0;
"
14,36,"0,36;-1.56417,-2.50734,-0.377052/-1.56417,-2.50734,-0.377052/-1.56417,-2.50734,-0.377052;1,9,1,0;40.979337625276;0,1,0;1,0,0;1,1,1;
"
15,36,"0,36;-2.08246,0.3313,-1.22647/-2.08246,0.3313,-1.22647/-2.08246,0.3313,-1.22647;1,10,1,0;40.234409552358;0,1,0;1,0,0;4,1,1;
"
16,36,"0,36;-2.16009,0.958879,-1.40359/-2.16009,0.958879,-1.40359/-2.16009,0.958879,-1.40359;1,14,1,0;40.0187356264534;0,1,0;1,0,0;3,4,0/4,1,1;
"
17,41,"2,41;3.21571,0.190078,2.45498/3.216,0.190519,2.45513/3.21543,0.189638,2.45483;1,28,1,0;40.944798646717;2,1,1;2,0,0;4,1,2/4,4,1;
"
18,43,"2,43;-0.145688,3.19192,-0.228521/-0.145688,3.19192,-0.228521/-0.145688,3.19192,-0.228521;1,17,1,0;40.232835605623;0,1,0;0,1,0;3,1,1;
"
19,47,"2,47;0.218803,1.4673,1.10223/0.218803,1.4673,1.10223/0.218803,1.4673,1.10223;1,25,1,0;40.798158535854;0,1,0;0,1,0;2,1,1/2,4,0;
"
20,47,"0,47;-0.263594,2.37427,1.33099/-0.262729,2.37498,1.33116/-0.264459,2.37356,1.33082;1,29,1,0;40.212376383742;1,0,2;2,0,0;1,1,2/4,9,2;
"
21,47,"0,47;-0.264896,2.37726,1.33224/-0.264896,2.37726,1.33224/-0.264896,2.37726,1.33224;1,29,1,0;40.212377591655;0,1,0;1,0,0;1,1,1/2,3,0/2,7,0/3,4,0;
"
22,48,"2,48;3.45667,1.39571,-1.9575/3.45677,1.39617,-1.95714/3.45657,1.39524,-1.95785;1,4,1,0;40.703216878831;1,0,2;2,0,0;4,1,2/4,6,2;
"
23,48,"0,48;3.28633,2.41679,-0.205767/3.28633,2.41679,-0.205767/3.28633,2.41679,-0.205767;1,20,1,0;40.0139542567315;0,1,0;1,0,0;1,1,1;
"
24,53,"2,53;-0.20219,-2.68976,1.42915/-0.20219,-2.68976,1.42915/-0.20219,-2.68976,1.42915;1,22,1,0;40.477372948935;1,0,1;1,0,0;4,1,2;
"
25,61,"2,61;-0.759664,1.61086,-1.18135/-0.759551,1.61094,-1.18125/-0.759777,1.61078,-1.18144;1,7,1,0;40.568966987495;2,1,1;0,2,1;2,1,2/3,2,1;
"
26,61,"0,61;-0.759861,1.61112,-1.18246/-0.759861,1.61112,-1.18246/-0.759861,1.61112,-1.18246;1,7,1,0;40.568966378974;0,1,0;0,1,0;2,1,1;
"
27,62,"2,62;-1.14246,3.63181,0.0631424/-1.14246,3.63181,0.0631424/-1.14246,3.63181,0.0631424;1,17,1,0;40.477699114797;1,0,1;1,0,0;4,1,2;
"
28,67,"2,67;-0.613441,2.50105,-2.94786/-0.613441,2.50105,-2.94786/-0.613441,2.50105,-2.94786;1,2,1,0;40.775462133222;1,0,1;1,0,0;1,1,2;
"
29,69,"2,69;2.29846,-1.26266,-2.28631/2.29846,-1.26266,-2.28631/2.29846,-1.26266,-2.28631;1,3,1,0;40.866500489609;1,0,1;0,1,0;2,1,2;
"
30,71,"2,71;-1.39849,-0.100818,-1.78551/-1.39849,-0.100818,-1.78551/-1.39849,-0.100818,-1.78551;1,6,1,0;40.795097990494;1,0,1;1,0,0;4,1,2;
"
31,72,"2,72;-0.885898,1.30139,-2.66526/-0.885898,1.30139,-2.66526/-0.885898,1.30139,-2.66526;1,4,1,0;40.0706544727733;1,0,1;1,0,0;4,1,2;
"
32,72,"0,72;0.301459,-0.493874,0.254905/0.301459,-0.493874,0.254905/0.301459,-0.493874,0.254905;1,16,1,0;40.76643408314;0,1,0;0,1,0;3,1,1;
"
33,72,"0,72;0.835513,-1.19868,1.39756/0.835513,-1.19868,1.39756/0.835513,-1.19868,1.39756;1,23,1,0;40.891150437704;1,0,1;0,1,0;2,1,2;
"
34,75,"2,75;-1.2932,-1.44436,-2.65821/-1.2932,-1.44436,-2.65821/-1.2932,-1.44436,-2.65821;1,5,1,0;40.352844277745;1,0,1;0,1,0;2,1,2;
"
35,75,"0,75;-3.07121,-1.18,-1.69392/-3.07121,-1.18,-1.69392/-3.07121,-1.18,-1.69392;1,6,1,0;40.856779889453;0,1,0;0,1,0;3,1,1;
"
36,80,"2,80;1.24211,0.0275671,-1.71518/1.24211,0.0275671,-1.71518/1.24211,0.0275671,-1.71518;1,11,1,0;40.00528028773751;0,1,0;0,1,0;1,4,0/2,3,0/2,4,0/2,5,0/2,6,0/3,1,1/3,2,0/4,4,0;
"
37,83,"2,83;0.972029,-0.86159,-0.517266/0.972029,-0.86159,-0.517266/0.972029,-0.86159,-0.517266;1,12,1,0;40.765361634464;0,1,0;1,0,0;1,1,1;
"
38,83,"0,83;-0.116447,-1.97776,-0.576331/-0.116447,-1.97776,-0.576331/-0.116447,-1.97776,-0.576331;1,15,1,0;40.0994324343149;1,0,1;1,0,0;4,1,2;
"
39,84,"2,84;0.143079,1.48754,-3.72024/0.143079,1.48754,-3.72024/0.143079,1.48754,-3.72024;1,1,1,0;40.593771639628;1,0,1;1,0,0;4,1,2;
