,PartNumber,Info
0,0,"2,0;-2.62039,-0.665344,1.65578/-2.62039,-0.665344,1.65578/-2.62039,-0.665344,1.65578;1,24,1,0;40.741558131183;1,0,1;0,1,0;3,1,2;
"
1,0,"0,0;-1.60436,-0.0140907,3.21171/-1.60436,-0.0140907,3.21171/-1.60436,-0.0140907,3.21171;1,41,1,0;40.698508989331;0,1,0;1,0,0;1,1,1/2,1,0;
"
2,2,"2,2;1.64299,-0.224995,-2.64308/1.64299,-0.224995,-2.64308/1.64299,-0.224995,-2.64308;1,3,1,0;40.657518945667;1,0,1;0,1,0;3,1,2;
"
3,2,"0,2;2.00102,-2.03201,-1.36719/2.00102,-2.03201,-1.36719/2.00102,-2.03201,-1.36719;1,8,1,0;40.633037873512;1,0,1;0,1,0;3,1,2;
"
4,3,"2,3;-0.202027,4.10826,-1.41994/-0.202027,4.10826,-1.41994/-0.202027,4.10826,-1.41994;1,7,1,0;40.196624090671;1,0,1;0,1,0;2,1,2;
"
5,3,"0,3;-0.203235,4.10677,-1.41665/-0.203235,4.10677,-1.41665/-0.203235,4.10677,-1.41665;1,7,1,0;40.196633463935;0,1,0;0,1,0;2,1,1/3,2,0/3,3,0;
"
6,3,"0,3;-0.204544,4.10657,-1.42068/-0.204544,4.10657,-1.42068/-0.204544,4.10657,-1.42068;1,7,1,0;40.196624688964;0,1,0;1,0,0;1,1,1/2,6,0/2,7,0/2,9,0;
"
7,4,"2,4;0.524769,1.16087,2.33275/0.524769,1.16087,2.33275/0.524769,1.16087,2.33275;1,31,1,0;40.717258820341;1,0,1;1,0,0;4,1,2;
"
8,5,"2,5;1.25993,-2.96451,-3.23992/1.25993,-2.96451,-3.23992/1.25993,-2.96451,-3.23992;1,1,1,0;40.978417059827;1,0,1;1,0,0;4,1,2;
"
9,6,"2,6;-0.698212,-1.08932,1.98677/-0.698212,-1.08932,1.98677/-0.698212,-1.08932,1.98677;1,30,1,0;40.466107003557;1,0,1;1,0,0;1,1,2;
"
10,7,"2,7;1.55702,-0.16938,2.34295/1.55727,-0.168296,2.34296/1.55676,-0.170464,2.34295;1,28,1,0;40.910701495094;2,1,1;2,0,0;1,1,2/4,8,1;
"
11,7,"0,7;1.63633,0.222872,2.82558/1.63633,0.222872,2.82558/1.63633,0.222872,2.82558;1,39,1,0;40.04974097124;1,0,1;0,1,0;2,1,2;
"
12,10,"2,10;0.322062,0.434511,1.71447/0.322201,0.434924,1.71469/0.321922,0.434098,1.71424;1,27,1,0;40.531781073197;0,3,0;1,2,0;2,8,0/2,10,0/3,1,1/3,3,1/4,1,1;
"
13,10,"0,10;0.324178,0.435446,1.71397/0.324555,0.435706,1.71433/0.323802,0.435186,1.71361;1,27,1,0;40.531781183699;2,1,1;1,1,0;2,1,1/3,1,0/4,8,2;
"
14,11,"2,11;-0.970673,3.81044,0.755291/-0.970673,3.81044,0.755291/-0.970673,3.81044,0.755291;1,25,1,0;40.406250670781;1,0,1;1,0,0;1,1,2;
"
15,12,"2,12;1.0327,-1.37784,-3.14689/1.0327,-1.37784,-3.14689/1.0327,-1.37784,-3.14689;1,3,1,0;40.130982478834;0,1,0;0,1,0;2,1,1;
"
16,12,"0,12;1.03408,-1.38226,-3.1442/1.03408,-1.38226,-3.1442/1.03408,-1.38226,-3.1442;1,3,1,0;40.130975491322;1,0,1;1,0,0;1,1,2;
