,PartNumber,Info
0,1,"2,1;0.540308,2.37447,1.10412/0.540308,2.37447,1.10412/0.540308,2.37447,1.10412;1,25,1,0;40.878162736274;1,0,1;1,0,0;1,1,2;
"
1,3,"2,3;-2.33853,-1.21766,0.934543/-2.33853,-1.21766,0.934543/-2.33853,-1.21766,0.934543;1,21,1,0;40.617856640823;1,0,1;0,1,0;3,1,2;
"
2,3,"0,3;-2.3379,-1.22137,0.93889/-2.33729,-1.22113,0.939033/-2.33852,-1.22162,0.938748;1,21,1,0;40.617855593099;2,1,1;2,0,0;1,1,1/4,4,2;
"
3,4,"2,4;-1.35739,-0.441678,2.84046/-1.35739,-0.441678,2.84046/-1.35739,-0.441678,2.84046;1,36,1,0;40.956311076072;0,1,0;0,1,0;3,1,1;
"
4,4,"0,4;-1.35893,-0.444795,2.83977/-1.35893,-0.444795,2.83977/-1.35893,-0.444795,2.83977;1,36,1,0;40.956312634776;1,0,1;1,0,0;4,1,2;
"
5,4,"0,4;-1.37357,-1.67191,3.21255/-1.37357,-1.67191,3.21255/-1.37357,-1.67191,3.21255;1,40,1,0;40.493495442401;1,0,1;1,0,0;1,1,2;
"
6,5,"2,5;0.858119,-0.529485,-4.13713/0.858119,-0.529485,-4.13713/0.858119,-0.529485,-4.13713;1,1,1,0;40.226070419961;1,0,1;0,1,0;2,1,2;
"
7,5,"0,5;0.860964,-0.530933,-4.13485/0.860964,-0.530933,-4.13485/0.860964,-0.530933,-4.13485;1,1,1,0;40.226077235001;1,0,1;0,1,0;2,1,2;
"
8,6,"2,6;-1.72583,2.2876,-2.25422/-1.72583,2.2876,-2.25422/-1.72583,2.2876,-2.25422;1,6,1,0;40.170154425451;1,0,1;1,0,0;1,1,2;
"
9,6,"0,6;-3.64291,2.66194,-0.391657/-3.64223,2.66197,-0.390879/-3.6436,2.66192,-0.392436;1,14,1,0;40.228177906377;0,2,0;1,1,0;1,3,0/2,1,1/3,1,0/3,5,0/4,1,1;
"
10,6,"0,6;-3.64114,2.65967,-0.39392/-3.64114,2.65967,-0.39392/-3.64114,2.65967,-0.39392;1,14,1,0;40.228177223168;1,0,1;1,0,0;4,1,2;
"
11,8,"2,8;-2.75958,0.952199,-1.70963/-2.75859,0.95251,-1.70885/-2.76057,0.951888,-1.7104;1,6,1,0;40.694754121982;0,4,0;1,3,1;2,2,1/2,3,1/3,1,0/3,5,0/3,6,0/3,8,1/4,1,1/4,5,0;
"
12,8,"0,8;-2.76754,0.954187,-1.71217/-2.76754,0.954187,-1.71217/-2.76754,0.954187,-1.71217;1,6,1,0;40.694752661485;1,0,1;1,0,0;1,1,2;
"
13,8,"0,8;-2.76364,0.954515,-1.71033/-2.76364,0.954515,-1.71033/-2.76364,0.954515,-1.71033;1,6,1,0;40.694753288813;1,0,1;1,0,0;2,4,0/2,10,0/4,1,2;
"
14,8,"0,8;-2.75655,0.951926,-1.71425/-2.75655,0.951926,-1.71425/-2.75655,0.951926,-1.71425;1,6,1,0;40.694754621883;1,0,1;1,0,0;4,1,2;
"
15,8,"0,8;-2.75017,0.952349,-1.70686/-2.75017,0.952349,-1.70686/-2.75017,0.952349,-1.70686;1,6,1,0;40.69475495025;1,0,1;1,0,0;1,1,2/2,2,0;
"
16,10,"2,10;-2.92215,-0.292085,-1.4167/-2.92215,-0.292085,-1.4167/-2.92215,-0.292085,-1.4167;1,6,1,0;40.990108380603;0,1,0;1,0,0;4,1,1;
"
17,10,"0,10;-2.9235,-0.287809,-1.41435/-2.9235,-0.287809,-1.41435/-2.9235,-0.287809,-1.41435;1,6,1,0;40.990109272585;1,0,1;1,0,0;4,1,2;
"
18,14,"2,14;-2.87901,-1.17104,-1.73399/-2.87901,-1.17104,-1.73399/-2.87901,-1.17104,-1.73399;1,6,1,0;40.857093714866;0,1,0;1,0,0;2,4,0/2,6,0/4,1,1;
"
19,14,"0,14;-2.87795,-1.16444,-1.73515/-2.87795,-1.16444,-1.73515/-2.87795,-1.16444,-1.73515;1,6,1,0;40.857093856995;1,0,1;1,0,0;4,1,2;
"
20,15,"2,15;2.0334,-0.75749,-0.218657/2.0334,-0.757219,-0.217849/2.0334,-0.75776,-0.219466;1,16,1,0;40.366518346031;2,1,1;1,1,0;1,2,0/1,3,0/2,3,0/2,7,0/3,2,0/3,3,0/3,4,2/4,1,1;
"
21,15,"0,15;2.03658,-0.758512,-0.217815/2.03658,-0.758512,-0.217815/2.03658,-0.758512,-0.217815;1,16,1,0;40.366517575865;1,0,1;1,0,0;1,1,2;
"
22,16,"2,16;3.04603,1.63216,-0.157251/3.04603,1.63216,-0.157251/3.04603,1.63216,-0.157251;1,13,1,0;40.790401677616;0,1,0;0,1,0;3,1,1;
"
23,16,"0,16;-0.880505,3.94092,0.138072/-0.880378,3.94107,0.138269/-0.880633,3.94076,0.137876;1,17,1,0;40.436133641048;2,1,1;1,1,0;2,1,1/2,2,0/2,6,0/2,9,0/3,4,0/4,4,2;
"
24,17,"2,17;0.401049,-3.32467,-1.41926/0.401049,-3.32467,-1.41926/0.401049,-3.32467,-1.41926;1,8,1,0;40.513329073688;1,0,1;1,0,0;1,1,2;
"
25,24,"2,24;3.25775,-0.917758,2.61379/3.25775,-0.917758,2.61379/3.25775,-0.917758,2.61379;1,34,1,0;40.630932274633;1,0,1;1,0,0;1,1,2;
