,PartNumber,Info
0,0,"2,0;-1.15552,-1.59673,-0.771025/-1.15552,-1.59673,-0.771025/-1.15552,-1.59673,-0.771025;1,9,1,0;40.462345948553;0,1,0;0,1,0;3,1,1/4,1,0;
"
1,2,"2,2;-3.35669,1.14843,0.454607/-3.35669,1.14843,0.454607/-3.35669,1.14843,0.454607;1,17,1,0;40.835540516224;0,1,0;0,1,0;2,1,1;
"
2,2,"0,2;-3.21205,1.26069,0.719557/-3.21205,1.26069,0.719557/-3.21205,1.26069,0.719557;1,24,1,0;40.201352994905;1,0,1;1,0,0;4,1,2;
"
3,2,"0,2;-2.66675,1.68395,1.7168/-2.66675,1.68395,1.7168/-2.66675,1.68395,1.7168;1,24,1,0;40.936753571909;1,0,1;1,0,0;1,1,2;
"
4,3,"2,3;0.644968,-1.23053,-3.012/0.644968,-1.23053,-3.012/0.644968,-1.23053,-3.012;1,3,1,0;40.335310863687;1,0,1;1,0,0;4,1,2;
"
5,3,"0,3;-2.96446,0.543825,-2.20011/-2.96446,0.543825,-2.20011/-2.96446,0.543825,-2.20011;1,6,1,0;40.290814898241;1,0,1;0,1,0;3,1,2;
"
6,3,"0,3;-2.96103,0.544829,-2.19696/-2.96103,0.544829,-2.19696/-2.96103,0.544829,-2.19696;1,6,1,0;40.290815432449;1,0,1;1,0,0;1,1,2/2,2,0;
"
7,3,"0,3;-2.9629,0.546824,-2.19738/-2.9629,0.546824,-2.19738/-2.9629,0.546824,-2.19738;1,6,1,0;40.290823891566;0,1,0;1,0,0;1,1,1/2,3,0;
"
8,5,"2,5;0.962335,-3.39161,-0.200027/0.962335,-3.39161,-0.200027/0.962335,-3.39161,-0.200027;1,15,1,0;40.344218482116;1,0,1;1,0,0;1,1,2;
"
9,6,"2,6;-0.86479,-1.18642,2.34202/-0.86479,-1.18642,2.34202/-0.86479,-1.18642,2.34202;1,33,1,0;40.382815371106;1,0,1;0,1,0;2,1,2;
"
10,7,"2,7;-1.22127,3.57103,-0.552498/-1.22127,3.57103,-0.552498/-1.22127,3.57103,-0.552498;1,17,1,0;40.0741936579541;1,0,1;0,1,0;2,1,2;
"
11,8,"2,8;-0.898204,-2.12181,-1.05533/-0.898068,-2.12134,-1.05501/-0.89834,-2.12228,-1.05564;1,8,1,0;40.794160144245;2,2,1;3,0,0;1,1,2/2,10,0/3,10,0/4,5,1/4,6,1;
"
12,10,"2,10;-2.77156,0.183673,-0.166218/-2.77156,0.183673,-0.166218/-2.77156,0.183673,-0.166218;1,14,1,0;40.373640192628;1,0,1;1,0,0;1,1,2/2,3,0/3,3,0/3,5,0;
"
13,11,"2,11;-0.587809,-1.06138,-1.45415/-0.587809,-1.06138,-1.45415/-0.587809,-1.06138,-1.45415;1,8,1,0;40.726874208028;1,0,1;0,1,0;3,1,2;
"
14,11,"0,11;-0.154327,-0.992825,-1.77633/-0.154327,-0.992825,-1.77633/-0.154327,-0.992825,-1.77633;1,8,1,0;40.14654909944;1,0,1;1,0,0;4,1,2;
"
15,11,"0,11;-0.588153,-1.06375,-1.45376/-0.588153,-1.06375,-1.45376/-0.588153,-1.06375,-1.45376;1,8,1,0;40.726874847231;0,1,0;1,0,0;1,1,1;
"
16,12,"2,12;2.9552,-1.05546,2.53005/2.9552,-1.05546,2.53005/2.9552,-1.05546,2.53005;1,34,1,0;40.608480862826;0,1,0;0,1,0;2,1,1;
"
17,12,"0,12;1.9427,1.74677,3.45875/1.9427,1.74677,3.45875/1.9427,1.74677,3.45875;1,45,1,0;40.355856254176;1,0,1;0,1,0;2,1,2;
"
18,13,"2,13;2.10205,0.71751,-3.56696/2.10205,0.71751,-3.56696/2.10205,0.71751,-3.56696;1,1,1,0;40.658929042113;1,0,1;0,1,0;2,1,2;
"
19,14,"2,14;-2.63806,-0.496396,1.80461/-2.63806,-0.496396,1.80461/-2.63806,-0.496396,1.80461;1,24,1,0;40.758169816982;1,0,1;0,1,0;2,6,0/2,8,0/2,10,0/3,1,2/3,9,0/3,10,0;
"
20,14,"0,14;-2.60016,-0.610636,1.91281/-2.60016,-0.610636,1.91281/-2.60016,-0.610636,1.91281;1,30,1,0;40.571156469543;0,1,0;1,0,0;1,1,1/3,4,0;
"
21,16,"2,16;2.5,2.6205,1.72288/2.5,2.6205,1.72288/2.5,2.6205,1.72288;1,28,1,0;40.340395708098;1,0,1;0,1,0;2,1,2/3,1,0/3,4,0;
"
22,17,"2,17;-1.48916,2.33721,-3.68485/-1.48916,2.33721,-3.68485/-1.48916,2.33721,-3.68485;1,2,1,0;40.122594651124;1,0,1;1,0,0;1,1,2;
"
23,18,"2,18;-1.30111,1.64281,-3.82771/-1.30111,1.64281,-3.82771/-1.30111,1.64281,-3.82771;1,2,1,0;40.0498965126618;0,1,0;1,0,0;1,1,1;
"
24,18,"0,18;-0.119165,0.335205,-1.76568/-0.119165,0.335205,-1.76568/-0.119165,0.335205,-1.76568;1,11,1,0;40.0491054720937;0,1,0;0,1,0;2,1,1;
"
25,19,"2,19;0.0790935,-1.65355,-1.90328/0.0790935,-1.65355,-1.90328/0.0790935,-1.65355,-1.90328;1,5,1,0;40.847473625295;1,0,1;1,0,0;1,1,2;
"
26,19,"0,19;-2.96977,-2.2625,-1.80734/-2.96977,-2.2625,-1.80734/-2.96977,-2.2625,-1.80734;1,9,1,0;40.0744314932804;0,1,0;1,0,0;1,1,1;
