,PartNumber,Info
0,0,"2,0;-2.84998,0.24871,3.22736/-2.84998,0.24871,3.22736/-2.84998,0.24871,3.22736;1,41,1,0;40.756695685371;1,0,1;0,1,0;3,1,2;
"
1,1,"2,1;-2.40413,-0.247127,1.9805/-2.40413,-0.247127,1.9805/-2.40413,-0.247127,1.9805;1,30,1,0;40.662539461738;1,0,1;1,0,0;1,1,2/2,4,0/2,8,0;
"
2,2,"2,2;2.56501,-2.88672,-1.79707/2.56501,-2.88672,-1.79707/2.56501,-2.88672,-1.79707;1,8,1,0;40.319878096424;1,0,1;0,1,0;3,1,2;
"
3,2,"0,2;-0.612095,-4.01185,-1.10732/-0.612095,-4.01185,-1.10732/-0.612095,-4.01185,-1.10732;1,8,1,0;40.96783188669;1,0,1;0,1,0;3,1,2;
"
4,3,"2,3;2.24336,2.81049,1.56723/2.24336,2.81049,1.56723/2.24336,2.81049,1.56723;1,28,1,0;40.360170256144;1,0,1;1,0,0;4,1,2;
"
5,4,"2,4;0.781666,-0.176288,-2.02768/0.781666,-0.176288,-2.02768/0.781666,-0.176288,-2.02768;1,4,1,0;40.570632281177;0,1,0;0,1,0;3,1,1;
"
6,4,"0,4;-0.8274,3.26469,0.317069/-0.8274,3.26469,0.317069/-0.8274,3.26469,0.317069;1,25,1,0;40.160199957139;0,1,0;1,0,0;4,1,1;
"
7,5,"2,5;0.208976,1.75304,-1.44939/0.208976,1.75304,-1.44939/0.208976,1.75304,-1.44939;1,7,1,0;40.469567408244;1,0,1;0,1,0;2,1,2;
"
8,7,"2,7;2.10671,-2.39728,-1.35751/2.10671,-2.39728,-1.35751/2.10671,-2.39728,-1.35751;1,8,1,0;40.606805404278;1,0,1;1,0,0;1,1,2/2,1,0;
"
9,7,"0,7;2.10454,-2.39614,-1.3622/2.10454,-2.39614,-1.3622/2.10454,-2.39614,-1.3622;1,8,1,0;40.606805634391;1,0,1;1,0,0;4,1,2;
"
10,8,"2,8;-2.4032,-0.897309,-3.69771/-2.4032,-0.897309,-3.69771/-2.4032,-0.897309,-3.69771;1,1,1,0;40.800683584418;1,0,1;1,0,0;1,1,2;
