,PartNumber,Info
0,0,"2,0;-0.847829,3.04816,-2.33161/-0.847829,3.04816,-2.33161/-0.847829,3.04816,-2.33161;1,4,1,0;40.279622102137;1,0,1;1,0,0;4,1,2;
"
1,0,"0,0;-0.907933,-3.92507,-0.757166/-0.907933,-3.92507,-0.757166/-0.907933,-3.92507,-0.757166;1,9,1,0;40.713586497411;1,0,1;1,0,0;1,1,2;
"
2,3,"2,3;-0.40325,2.85452,-2.64932/-0.40325,2.85452,-2.64932/-0.40325,2.85452,-2.64932;1,4,1,0;40.179942475933;1,0,1;1,0,0;1,8,0/2,10,0/3,7,0/3,8,0/4,1,2;
"
3,3,"0,3;-0.638676,2.00208,0.232958/-0.638429,2.00225,0.232959/-0.638922,2.00191,0.232956;1,17,1,0;40.605842679154;2,1,1;0,2,0;2,1,1/2,2,2;
"
4,3,"0,3;-0.577524,1.75442,1.09356/-0.577225,1.75496,1.0943/-0.577824,1.75387,1.09282;1,25,1,0;40.823347340448;0,3,0;2,1,0;1,6,1/2,2,0/2,3,0/2,5,0/2,7,1/2,8,0/3,5,0/4,1,1/4,8,0;
"
5,3,"0,3;-0.578334,1.75663,1.09242/-0.578334,1.75663,1.09242/-0.578334,1.75663,1.09242;1,25,1,0;40.823348454845;1,0,1;1,0,0;4,1,2;
"
6,3,"0,3;-0.5275,1.45817,2.10203/-0.5275,1.45817,2.10203/-0.5275,1.45817,2.10203;1,29,1,0;40.915869161591;1,0,1;1,0,0;4,1,2;
"
7,5,"2,5;2.46934,-1.88492,0.776668/2.46934,-1.88492,0.776668/2.46934,-1.88492,0.776668;1,19,1,0;40.89253217171;1,0,1;0,1,0;3,1,2;
"
8,5,"0,5;2.46995,-1.88514,0.778758/2.46995,-1.88514,0.778758/2.46995,-1.88514,0.778758;1,19,1,0;40.892532077704;1,0,1;1,0,0;2,1,0/2,2,0/3,1,0/3,2,0/3,3,0/4,1,2;
"
9,5,"0,5;2.91588,-0.504424,2.34221/2.91588,-0.504424,2.34221/2.91588,-0.504424,2.34221;1,28,1,0;40.870418867501;1,0,1;1,0,0;1,1,2;
"
10,6,"2,6;-0.409408,3.37464,-1.09366/-0.409408,3.37464,-1.09366/-0.409408,3.37464,-1.09366;1,7,1,0;40.754764942252;1,0,1;1,0,0;1,1,2;
